1	アビスパ福岡	19	10	6	1	3	11	8	3
2	kyo 京都サンガF.C.	18	10	5	3	2	13	10	3
3	川崎フロンターレ	17	10	4	5	1	18	9	9
4	ファジアーノ岡山	17	10	5	2	3	9	5	4
5	柏レイソル	17	10	4	5	1	11	8	3
6	サンフレッチェ広島	17	9	5	2	2	9	6	3
7	FC町田ゼルビア	17	10	5	2	3	12	10	2
8	鹿島アントラーズ	16	10	5	1	4	16	10	6
9	湘南ベルマーレ	14	10	4	2	4	9	13	-4
10	浦和レッズ	13	10	3	4	3	9	9	0
11	ガンバ大阪	13	10	4	1	5	11	15	-4
12	清水エスパルス	12	10	3	3	4	11	10	1
13	セレッソ大阪	12	10	3	3	4	15	15	0
14	ヴィッセル神戸	12	9	3	3	3	7	7	0
15	横浜FC	11	10	3	2	5	6	7	-1
16	東京ヴェルディ	10	10	2	4	4	7	12	-5
17	FC東京	9	10	2	3	5	7	12	-5
18	横浜F・マリノス	8	10	1	5	4	8	11	-3
19	アルビレックス新潟	8	10	1	5	4	10	14	-4
20	名古屋グランパス	8	10	2	2	6	11	19	-8
