1	int インテル・ミラノ	71	32	21	8	3	72	31	41
2	ナポリ	68	32	20	8	4	51	25	26
3	アタランタ	61	32	18	7	7	65	30	35
4	ユヴェントス	59	32	15	14	3	49	30	19
5	ボローニャ	57	32	15	12	5	51	37	14
6	ラツィオ	56	32	16	8	8	53	43	10
7	ASローマ	54	32	15	9	8	47	32	15
8	フィオレンティーナ	53	32	15	8	9	49	32	17
9	ACミラン	51	32	14	9	9	51	37	14
10	トリノ	40	32	9	13	10	36	37	-1
11	ウディネーゼ	40	32	11	7	14	36	46	-10
12	ジェノア	39	32	9	12	11	29	38	-9
13	コモ	36	32	9	9	14	40	48	-8
14	ヴェローナ	32	32	9	5	18	30	59	-29
15	カリアリ	30	32	7	9	16	32	47	-15
16	パルマ	28	32	5	13	14	37	51	-14
17	レッチェ	26	32	6	8	18	23	52	-29
18	ヴェネツィア	24	32	4	12	16	25	44	-19 ven
19	エンポリ	24	32	4	12	16	24	50	-26
20	モンツァ	15	32	2	9	21	25	56	-31
